23, fast, slow
13, slow, fast
26, fast, slow
3, slow, slow
2, slow, slow
30, fast, fast
38, fast, fast
37, fast, fast
6, slow, slow
18, slow, fast
24, fast, slow
27, fast, slow
5, slow, slow
15, slow, fast
8, slow, slow
32, fast, fast
35, fast, fast
16, slow, fast
28, fast, slow
22, fast, slow
31, fast, fast
17, slow, fast
19, slow, fast
4, slow, slow
33, fast, fast
20, fast, slow
36, fast, fast
14, slow, fast
39, fast, fast
21, fast, slow
29, fast, slow
1, slow, slow
34, fast, fast
12, slow, fast
10, slow, fast
9, slow, slow
25, fast, slow
0, slow, slow
11, slow, fast
7, slow, slow
