node, prevNode, creator, time
1, 0, 0, 0
45, 1, 43, 0.44484724098939943
64, 45, 1, 0.4713826183970805
87, 45, 2, 0.7760815661714376
51, 1, 49, 0.840415629214532
103, 64, 20, 1.1606105510233256
135, 64, 39, 1.4703263229633636
208, 103, 54, 1.4776509442410175
116, 64, 15, 1.529334927613182
207, 116, 43, 1.5735206131720687
168, 116, 15, 1.664943499661608
141, 64, 49, 1.6829091104346623
152, 103, 20, 1.6831145676385713
246, 207, 57, 1.8285111588862248
184, 64, 25, 1.8799056710759343
211, 207, 43, 1.9578590252259738
290, 207, 42, 2.2191909436592367
244, 168, 24, 2.242620707952263
341, 211, 47, 2.485055047681712
361, 341, 20, 2.820666067868345
415, 341, 45, 2.9166984102434474
388, 361, 57, 2.926955626287128
317, 211, 13, 3.038524004491755
398, 317, 13, 3.12707629318779
535, 388, 40, 3.886052515140696
507, 388, 21, 4.256585377312052
532, 388, 38, 4.332196322434161
554, 507, 5, 4.351949168457454
620, 535, 44, 5.007481646794131
637, 554, 13, 5.114432374068224
617, 535, 50, 5.423234822494502
695, 637, 2, 5.660647354205386
660, 617, 50, 5.820216899682228
677, 637, 43, 5.83463327494903
661, 637, 36, 5.975800103420401
