1->0["{'txnID': 1, 'idx': 0, 'idy': 0, 'coins': 0}"]
2->1["{'txnID': 2, 'idx': None, 'idy': 0, 'coins': 50}"]
3->1["{'txnID': 3, 'idx': None, 'idy': 1, 'coins': 50}"]
4->1["{'txnID': 4, 'idx': None, 'idy': 2, 'coins': 50}"]
5->1["{'txnID': 5, 'idx': None, 'idy': 3, 'coins': 50}"]
6->1["{'txnID': 6, 'idx': None, 'idy': 4, 'coins': 50}"]
7->1["{'txnID': 7, 'idx': None, 'idy': 5, 'coins': 50}"]
8->1["{'txnID': 8, 'idx': None, 'idy': 6, 'coins': 50}"]
9->1["{'txnID': 9, 'idx': None, 'idy': 7, 'coins': 50}"]
10->1["{'txnID': 10, 'idx': None, 'idy': 8, 'coins': 50}"]
11->1["{'txnID': 11, 'idx': None, 'idy': 9, 'coins': 50}"]
12->1["{'txnID': 12, 'idx': None, 'idy': 10, 'coins': 50}"]
13->1["{'txnID': 13, 'idx': None, 'idy': 11, 'coins': 50}"]
14->1["{'txnID': 14, 'idx': None, 'idy': 12, 'coins': 50}"]
15->1["{'txnID': 15, 'idx': None, 'idy': 13, 'coins': 50}"]
16->1["{'txnID': 16, 'idx': None, 'idy': 14, 'coins': 50}"]
17->1["{'txnID': 17, 'idx': None, 'idy': 15, 'coins': 50}"]
18->1["{'txnID': 18, 'idx': None, 'idy': 16, 'coins': 50}"]
19->1["{'txnID': 19, 'idx': None, 'idy': 17, 'coins': 50}"]
20->1["{'txnID': 20, 'idx': None, 'idy': 18, 'coins': 50}"]
21->1["{'txnID': 21, 'idx': None, 'idy': 19, 'coins': 50}"]
22->1["{'txnID': 22, 'idx': None, 'idy': 20, 'coins': 50}"]
23->1["{'txnID': 23, 'idx': None, 'idy': 21, 'coins': 50}"]
24->1["{'txnID': 24, 'idx': None, 'idy': 22, 'coins': 50}"]
25->1["{'txnID': 25, 'idx': None, 'idy': 23, 'coins': 50}"]
26->1["{'txnID': 26, 'idx': None, 'idy': 24, 'coins': 50}"]
27->1["{'txnID': 27, 'idx': None, 'idy': 25, 'coins': 50}"]
28->1["{'txnID': 28, 'idx': None, 'idy': 26, 'coins': 50}"]
29->1["{'txnID': 29, 'idx': None, 'idy': 27, 'coins': 50}"]
30->1["{'txnID': 30, 'idx': None, 'idy': 28, 'coins': 50}"]
31->1["{'txnID': 31, 'idx': None, 'idy': 29, 'coins': 50}"]
32->1["{'txnID': 32, 'idx': None, 'idy': 30, 'coins': 50}"]
33->1["{'txnID': 33, 'idx': None, 'idy': 31, 'coins': 50}"]
34->1["{'txnID': 34, 'idx': None, 'idy': 32, 'coins': 50}"]
35->1["{'txnID': 35, 'idx': None, 'idy': 33, 'coins': 50}"]
36->1["{'txnID': 36, 'idx': None, 'idy': 34, 'coins': 50}"]
37->1["{'txnID': 37, 'idx': None, 'idy': 35, 'coins': 50}"]
38->1["{'txnID': 38, 'idx': None, 'idy': 36, 'coins': 50}"]
39->1["{'txnID': 39, 'idx': None, 'idy': 37, 'coins': 50}"]
40->1["{'txnID': 40, 'idx': None, 'idy': 38, 'coins': 50}"]
41->1["{'txnID': 41, 'idx': None, 'idy': 39, 'coins': 50}"]
42->1["{'txnID': 42, 'idx': None, 'idy': 40, 'coins': 50}"]
43->1["{'txnID': 43, 'idx': None, 'idy': 41, 'coins': 50}"]
44->1["{'txnID': 44, 'idx': None, 'idy': 42, 'coins': 50}"]
45->1["{'txnID': 45, 'idx': None, 'idy': 43, 'coins': 50}"]
46->1["{'txnID': 46, 'idx': None, 'idy': 44, 'coins': 50}"]
47->1["{'txnID': 47, 'idx': None, 'idy': 45, 'coins': 50}"]
48->1["{'txnID': 48, 'idx': None, 'idy': 46, 'coins': 50}"]
49->1["{'txnID': 49, 'idx': None, 'idy': 47, 'coins': 50}"]
50->1["{'txnID': 50, 'idx': None, 'idy': 48, 'coins': 50}"]
51->1["{'txnID': 51, 'idx': None, 'idy': 49, 'coins': 50}"]
