0, slow, fast
1, slow, slow
2, slow, slow
3, slow, fast
4, fast, slow
5, fast, fast
6, fast, fast
7, fast, fast
8, slow, fast
9, fast, fast
10, fast, fast
11, fast, slow
12, slow, slow
13, slow, slow
14, slow, fast
15, slow, slow
16, fast, fast
17, slow, fast
18, slow, fast
19, fast, slow
20, fast, slow
21, fast, fast
22, slow, slow
23, fast, slow
24, fast, slow
25, fast, slow
26, slow, fast
27, slow, fast
28, slow, fast
29, slow, fast
30, fast, slow
31, fast, slow
32, slow, fast
33, fast, fast
34, slow, fast
35, slow, fast
36, fast, slow
37, fast, slow
38, fast, slow
39, fast, slow
40, slow, fast
41, slow, slow
42, fast, slow
43, slow, fast
44, fast, fast
45, fast, slow
46, fast, slow
47, fast, slow
48, slow, fast
49, slow, fast
50, fast, slow
51, fast, slow
52, fast, fast
53, fast, slow
54, slow, slow
55, slow, fast
56, slow, slow
57, slow, fast
58, fast, fast
59, slow, fast
60, slow, fast
61, slow, slow
62, slow, fast
63, slow, slow
64, fast, slow
65, fast, slow
66, fast, fast
67, fast, fast
68, fast, fast
69, slow, fast
70, slow, slow
71, slow, slow
72, slow, slow
73, fast, fast
74, slow, slow
75, slow, slow
76, fast, slow
77, slow, fast
78, slow, fast
79, fast, fast
80, fast, slow
81, fast, fast
82, fast, fast
83, slow, slow
84, fast, fast
85, slow, slow
86, slow, fast
87, fast, fast
88, slow, slow
89, slow, slow
90, fast, slow
91, fast, slow
92, slow, slow
93, slow, fast
94, fast, fast
95, fast, slow
96, fast, slow
97, slow, slow
98, slow, fast
99, fast, fast
